License Plate Number,Category,Brand,Model,Colour,Year,Kilometers,Status
ERF78,A,Hyundai,i10,Red,2016,37000,Available
HLE12,A,Hyundai,i10,Blue,2018,12000,Available
KIP99,A,Pugeot,108,White,2017,23000,Available
MEF34,A,Toyota,Aygo,Silver,2018,8000,Available
JUX87,B,Honda,Accord,Blue,2016,37000,Available
DEO65,B,Skoda,Octavia,Black,2018,12000,Available
LIJ34,B,Hyundai,i30,Green,2017,23000,Available
OFG17,B,Skoda,Octavia,Silver,2018,8000,Available
KJH23,C,Dacia,Duster,Black,2016,37000,Available
ROK77,C,Toyota,Land Cruiser,Silver,2018,12000,Available
TRI32,C,Hyundai,Tucson,Red,2017,23000,Available
FDS67,C,Nissan,Qashqai,Blue,2018,8000,Available
